timestamp_utc,context,attempt,requested_url,status_code,content_type,response_bytes,elapsed_seconds,response_preview,outcome
2026-08-17T00:41:33.274064+00:00,caltech:2019-01-01:2019-01-08:page1,1,https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E%3D%22Tue%2C+01+Jan+2019+00%3A00%3A00+GMT%22+and+connectionTime%3C%22Tue%2C+08+Jan+2019+00%3A00%3A00+GMT%22+and+kWhDelivered%3E%3D0.0&sort=-connectionTime,200,application/json,17596,1.1435209999999643,"{""_items"": [{""_id"": ""5c49152ff9af8b42baad53f2"", ""userInputs"": [{""userID"": 676, ""milesRequested"": 50, ""WhPerMile"": 364, ""minutesAvailable"": 348, ""modifiedAt"": ""Mon, 07 Jan 2019 23:35:26 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 08 Jan 2019 05:23:25 GMT"", ""kWhRequested"": 18.2}], ""sess",success
2026-08-17T00:41:33.940127+00:00,caltech:2019-01-01:2019-01-08:page2,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2001%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=2",200,application/json,18511,0.4078626680002344,"{""_items"": [{""_id"": ""5c49152ff9af8b42baad53d9"", ""userInputs"": [{""userID"": 945, ""milesRequested"": 50, ""WhPerMile"": 600, ""minutesAvailable"": 555, ""modifiedAt"": ""Mon, 07 Jan 2019 16:26:04 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 08 Jan 2019 01:40:56 GMT"", ""kWhRequested"": 30.0}], ""sess",success
2026-08-17T00:41:34.602094+00:00,caltech:2019-01-01:2019-01-08:page3,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2001%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=3",200,application/json,18505,0.4026855739994062,"{""_items"": [{""_id"": ""5c46721ff9af8b2d64cb2400"", ""userInputs"": [{""userID"": 1309, ""milesRequested"": 60, ""WhPerMile"": 450, ""minutesAvailable"": 55, ""modifiedAt"": ""Sun, 06 Jan 2019 01:19:12 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sun, 06 Jan 2019 02:12:45 GMT"", ""kWhRequested"": 27.0}], ""sess",success
2026-08-17T00:41:35.096132+00:00,caltech:2019-01-01:2019-01-08:page4,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2001%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=4",200,application/json,16892,0.23679810999965412,"{""_items"": [{""_id"": ""5c4520adf9af8b27127a0a9d"", ""userInputs"": [{""userID"": 1126, ""milesRequested"": 80, ""WhPerMile"": 250, ""minutesAvailable"": 418, ""modifiedAt"": ""Fri, 04 Jan 2019 18:03:25 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sat, 05 Jan 2019 01:00:37 GMT"", ""kWhRequested"": 20.0}], ""ses",success
2026-08-17T00:41:35.588788+00:00,caltech:2019-01-01:2019-01-08:page5,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2001%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=5",200,application/json,16882,0.23816077199990104,"{""_items"": [{""_id"": ""5c43cf2ff9af8b230b4b7691"", ""userInputs"": [{""userID"": 714, ""milesRequested"": 80, ""WhPerMile"": 200, ""minutesAvailable"": 389, ""modifiedAt"": ""Thu, 03 Jan 2019 21:41:36 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Fri, 04 Jan 2019 04:10:19 GMT"", ""kWhRequested"": 16.0}], ""sess",success
2026-08-17T00:41:36.256892+00:00,caltech:2019-01-01:2019-01-08:page6,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2001%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=6",200,application/json,17821,0.4093873390002045,"{""_items"": [{""_id"": ""5c427db1f9af8b1e1a5382a8"", ""userInputs"": [{""userID"": 754, ""milesRequested"": 50, ""WhPerMile"": 300, ""minutesAvailable"": 170, ""modifiedAt"": ""Thu, 03 Jan 2019 02:49:19 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Thu, 03 Jan 2019 05:39:07 GMT"", ""kWhRequested"": 15.0}, {""user",success
2026-08-17T00:41:36.748928+00:00,caltech:2019-01-01:2019-01-08:page7,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2001%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=7",200,application/json,12722,0.23303700399992522,"{""_items"": [{""_id"": ""5c427db1f9af8b1e1a53828f"", ""userInputs"": [{""userID"": 569, ""milesRequested"": 200, ""WhPerMile"": 300, ""minutesAvailable"": 499, ""modifiedAt"": ""Wed, 02 Jan 2019 16:34:37 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Thu, 03 Jan 2019 00:53:34 GMT"", ""kWhRequested"": 60.0}], ""ses",success
2026-08-17T00:41:38.596561+00:00,caltech:2019-01-08:2019-01-15:page1,1,https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E%3D%22Tue%2C+08+Jan+2019+00%3A00%3A00+GMT%22+and+connectionTime%3C%22Tue%2C+15+Jan+2019+00%3A00%3A00+GMT%22+and+kWhDelivered%3E%3D0.0&sort=-connectionTime,200,application/json,17122,0.8370626219993937,"{""_items"": [{""_id"": ""5c524fb3f9af8b67ee9eb3f7"", ""userInputs"": [{""userID"": 1082, ""milesRequested"": 40, ""WhPerMile"": 400, ""minutesAvailable"": 291, ""modifiedAt"": ""Mon, 14 Jan 2019 23:21:28 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Tue, 15 Jan 2019 04:12:26 GMT"", ""kWhRequested"": 16.0}], ""ses",success
2026-08-17T00:41:39.259059+00:00,caltech:2019-01-08:2019-01-15:page2,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2015%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=2",200,application/json,19457,0.4078955489994769,"{""_items"": [{""_id"": ""5c524fb3f9af8b67ee9eb3de"", ""userInputs"": [{""userID"": 171, ""milesRequested"": 50, ""WhPerMile"": 400, ""minutesAvailable"": 419, ""modifiedAt"": ""Mon, 14 Jan 2019 17:39:20 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Mon, 14 Jan 2019 23:44:35 GMT"", ""kWhRequested"": 20.0}, {""user",success
2026-08-17T00:41:39.920447+00:00,caltech:2019-01-08:2019-01-15:page3,1,"https://ev.caltech.edu/api/v1/sessions/caltech?where=connectionTime%3E=%22Tue,%2008%20Jan%202019%2000:00:00%20GMT%22%20and%20connectionTime%3C%22Tue,%2015%20Jan%202019%2000:00:00%20GMT%22%20and%20kWhDelivered%3E=0.0&sort=-connectionTime&page=3",200,application/json,19422,0.4074392969996552,"{""_items"": [{""_id"": ""5c50fe20f9af8b630a12557f"", ""userInputs"": [{""userID"": 743, ""milesRequested"": 20, ""WhPerMile"": 400, ""minutesAvailable"": 86, ""modifiedAt"": ""Sun, 13 Jan 2019 18:00:20 GMT"", ""paymentRequired"": true, ""requestedDeparture"": ""Sun, 13 Jan 2019 19:25:31 GMT"", ""kWhRequested"": 8.0}], ""sessio",success
